"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R660-A_Gain","R660-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B695-A_Gain","B695-H_Gain","V450-A_Gain","V450-H_Gain","V530-A_Gain","V530-H_Gain","V710-A_Gain","V710-H_Gain","Y590-A_Gain","Y590-H_Gain","Y610-A_Gain","Y610-H_Gain","Y670-A_Gain","Y670-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A-% rCV","FSC-H-% rCV","FSC-W-% rCV","SSC-A-% rCV","SSC-H-% rCV","SSC-W-% rCV","R660-A-% rCV","R660-H-% rCV","R780-A-% rCV","R780-H-% rCV","B530-A-% rCV","B530-H-% rCV","B695-A-% rCV","B695-H-% rCV","V450-A-% rCV","V450-H-% rCV","V530-A-% rCV","V530-H-% rCV","V710-A-% rCV","V710-H-% rCV","Y590-A-% rCV","Y590-H-% rCV","Y610-A-% rCV","Y610-H-% rCV","Y670-A-% rCV","Y670-H-% rCV","Y780-A-% rCV","Y780-H-% rCV","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R660-A","R660-H","R780-A","R780-H","B530-A","B530-H","B695-A","B695-H","V450-A","V450-H","V530-A","V530-H","V710-A","V710-H","Y590-A","Y590-H","Y610-A","Y610-H","Y670-A","Y670-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","Yellow_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","Yellow_AreaScalingFactor"
"19-DEC-2017",2017-12-19 12:54:08,"2017-12-19","12H 54M 8S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,2.74,1.19,2.89,4.55,1,5.41,5.4,5.67,10.41,10.02,4.63,5.12,6.1,6.72,6.39,6.14,6.26,5.39,6.54,7.48,3.7,4.57,3.81,3.99,4.63,4.47,9.22,9.54,121161.71875,66874.578125,118720,119813.4765625,66117.0859375,119371,8562.6796875,8545,8259.51953125,8093,8952.759765625,8777,9412.7802734375,9092,8891.9697265625,9007,8941.6904296875,9049,10096.5498046875,9100,8846.2294921875,10088,9360.859375,10711,10271.9296875,11815,9874.958984375,11768,NA,NA,NA,NA,NA,NA,NA,NA
"19-DEC-2017",2017-12-19 09:18:07,"2017-12-19","9H 18M 7S","Unknown","FACSAriaII","1","Administrator",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,3.36,1.34,4.14,5.77,1.03,6.71,6.78,NA,11.3,NA,6.42,NA,7.71,NA,6.86,NA,6.24,NA,8.15,NA,4.91,NA,4.8,NA,5.96,NA,11.06,NA,123961.6171875,67963.6796875,119549,122733.7578125,68119.96875,118519,10035.5302734375,NA,8956.970703125,NA,9442.91015625,NA,11346.9296875,NA,9681.359375,NA,9038.7197265625,NA,10090.83984375,NA,11388.6396484375,NA,11814.759765625,NA,11332.9892578125,NA,11646.7490234375,NA,-52.71,0,24.73,-24.99,1.07,0.83,1.16,0.53
"18-DEC-2017",2017-12-18 10:45:30,"2017-12-18","10H 45M 30S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,8.96,1.45,8.67,6.92,1.17,7.37,7.67,NA,12.66,NA,8.08,NA,9.52,NA,10.62,NA,10.22,NA,9.16,NA,5.28,NA,5.21,NA,6.47,NA,11.95,NA,124790.875,68004.2421875,120406,122366.0703125,68131.703125,118165,9974.5400390625,NA,6905.7802734375,NA,9705.189453125,NA,10523.5693359375,NA,9907.5595703125,NA,9353.080078125,NA,9500.3994140625,NA,11707.69921875,NA,12034.1796875,NA,10566.609375,NA,8904,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15-DEC-2017",2017-12-15 12:50:03,"2017-12-15","12H 50M 3S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,4.88,1.05,4.79,4.84,0.86,5.31,5.73,NA,9.54,NA,5.57,NA,6.46,NA,7.62,NA,7.36,NA,7.05,NA,3.68,NA,3.57,NA,4.14,NA,8.37,NA,123734.66796875,67073.66015625,121028.5,122120.80078125,67203.29296875,119464.5,9726.83544921875,NA,8058.70532226562,NA,9561.1845703125,NA,11126.564453125,NA,9713.83984375,NA,9085.11962890625,NA,9879.7197265625,NA,11084.1547851562,NA,11530.6796875,NA,10903.1591796875,NA,10551.5043945312,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14-DEC-2017",2017-12-14 08:48:12,"2017-12-14","8H 48M 12S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,6.72,1.25,6.55,5.85,1.03,6.55,6.73,6.81,11.43,11.16,6.24,6.25,7.51,7.93,9.01,9.1,8.77,8.76,8.57,8.2,4.13,5.63,4.22,5.32,5.05,5.67,10.28,10.82,123552.6015625,67096.7890625,120765,121811,66411.640625,120810,8565.859375,8510,7631.99951171875,7478,9170.8798828125,8948,9227.4599609375,8895,8799.3095703125,8928,8925.8701171875,9053,9955.2998046875,9116,10466.9697265625,10085,11109.859375,10759,11426.26953125,11483,10518.3798828125,10911,NA,NA,NA,NA,NA,NA,NA,NA
"13-DEC-2017",2017-12-13 13:47:03,"2017-12-13","13H 47M 3S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,4.81,1.26,4.77,4.9,1.04,5.79,5.58,NA,10.57,NA,4.45,NA,5.99,NA,6.91,NA,6.48,NA,7.49,NA,3.66,NA,3.61,NA,3.8,NA,7.71,NA,98405.6015625,51989.29296875,124062.5,122897.6796875,66329.39453125,122178.5,9750.37548828125,NA,8315.50537109375,NA,9604.759765625,NA,11153.125,NA,10056.0400390625,NA,9362.359375,NA,9867.5400390625,NA,10818.359375,NA,11174.51953125,NA,10640.279296875,NA,10461.1396484375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13-DEC-2017",2017-12-13 10:56:10,"2017-12-13","10H 56M 10S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,7.08,1.36,6.78,5.88,1.12,6.56,7.02,6.87,11.66,10.88,6.61,6.85,8.07,8.37,11.18,11.5,10.74,10.83,9.18,8.87,4.76,6.24,4.69,5.78,5.93,5.96,11.03,11.31,122736.6015625,67310.03125,119554,121529.7421875,66670.7890625,119915,8714.259765625,8608,7962.7197265625,7740,9128.240234375,8871,9297.16015625,8908,8827.5595703125,8880,9017.400390625,9062,10184.6904296875,9241,10438.8798828125,10027,11162.3291015625,10669,11443.2294921875,11516,10818.8896484375,11116,NA,NA,NA,NA,NA,NA,NA,NA
"12-DEC-2017",2017-12-12 14:58:52,"2017-12-12","14H 58M 52S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,2.79,1.1,2.48,3.89,0.84,4.65,4.14,4.41,9.03,8.66,3.57,3.83,4.79,5.29,7.1,7.43,6.91,7.4,7.33,7.55,3.1,4.06,2.83,3.54,3.23,4.02,6.68,7.95,120848.578125,66350.203125,119390,121602.71875,65472.58984375,122284,8659.1396484375,8712,7940.45947265625,7854,9036.400390625,8936,9423.439453125,9200,8916.830078125,9121,9047.91015625,9255,10283,9347,10039.259765625,10118,10755.2890625,10879,11203.6689453125,11683,10663.599609375,11419,NA,NA,NA,NA,NA,NA,NA,NA
"12-DEC-2017",2017-12-12 09:49:31,"2017-12-12","9H 49M 31S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,5.78,1.2,5.47,4.92,0.99,5.75,6.38,NA,10.96,NA,5.41,NA,6.81,NA,8.13,NA,7.66,NA,8.4,NA,4.11,NA,4.22,NA,5.16,NA,10.09,NA,123599.0078125,67432.42578125,120293.5,123074.47265625,67504.875,120070.5,9954.74560546875,NA,8736.015625,NA,9436.26953125,NA,11278.0400390625,NA,9905.8193359375,NA,9275.359375,NA,10217.279296875,NA,11161.2690429688,NA,11436.6044921875,NA,11078.58984375,NA,11308.0795898438,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11-DEC-2017",2017-12-11 14:25:32,"2017-12-11","14H 25M 32S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,11.13,2.07,11.08,8.21,1.73,9.54,8.14,NA,14.4,NA,6.6,NA,8.69,NA,8.08,NA,7.56,NA,9.1,NA,7.87,NA,7.89,NA,8.19,NA,11.53,NA,124490.99609375,66902.42578125,121566,122437.86328125,66883.27734375,120398.5,9692.595703125,NA,8417.1552734375,NA,9466.1494140625,NA,11332.4047851562,NA,10217.859375,NA,9571.73974609375,NA,10182.4794921875,NA,10919.8544921875,NA,11314.439453125,NA,10906.33984375,NA,10682.6796875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11-DEC-2017",2017-12-11 10:11:25,"2017-12-11","10H 11M 25S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,5.76,1.19,5.4,6.02,0.97,6.61,7.01,7.1,11.24,10.56,6.23,6.39,7.6,7.89,8.84,8.47,8.35,8,9.14,8.7,4.5,6.09,4.63,5.58,5.63,5.74,10.75,11.24,128138.515625,68422.359375,122761,124148.8203125,67664.2578125,120875,8896.5791015625,8684,8291.3193359375,7976,9478.3798828125,9077,9801.4599609375,9265,9138.3095703125,9065,9307.8095703125,9231,10581.3203125,9320,10992.7294921875,10269,11459.12890625,10873,12149.7197265625,11964,11275.2197265625,11488,NA,NA,NA,NA,NA,NA,NA,NA
"08-DEC-2017",2017-12-08 11:12:10,"2017-12-08","11H 12M 10S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,4.37,1.05,4.19,4.59,0.89,5.23,5.14,NA,9.54,NA,4.59,NA,5.79,NA,8.19,NA,7.75,NA,8.1,NA,3.21,NA,3.06,NA,3.68,NA,8.39,NA,123882.56640625,66614.0703125,121977,124655.20703125,66714.32421875,122990.5,9817.25,NA,8840.3408203125,NA,9457.4345703125,NA,11397.974609375,NA,9886.6796875,NA,9214.4599609375,NA,10216.1201171875,NA,11060.5693359375,NA,11458.0693359375,NA,10941.5844726562,NA,11464.958984375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07-DEC-2017",2017-12-07 13:47:14,"2017-12-07","13H 47M 14S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,5.61,1.29,5.53,4.82,1.02,5.56,5.96,NA,11.1,NA,5.65,NA,7.07,NA,8.21,NA,8.13,NA,8.51,NA,3.93,NA,3.89,NA,4.97,NA,10.25,NA,123789.23828125,67239.7265625,120670.5,124070.05859375,67324.41015625,121356,10013.060546875,NA,8992.8154296875,NA,9378.5849609375,NA,11209.9794921875,NA,10109.3994140625,NA,9430.2197265625,NA,10379.099609375,NA,11057.1245117188,NA,11528.8247070312,NA,10963.314453125,NA,11467.3447265625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05-DEC-2017",2017-12-05 14:40:31,"2017-12-05","14H 40M 31S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,2.98,1.05,2.86,4.29,0.84,5.02,4.12,NA,8.5,NA,3.34,NA,4.59,NA,4.89,NA,4.5,NA,7.25,NA,3.21,NA,2.96,NA,3.23,NA,6.59,NA,123747.4140625,65860.515625,123282,126086.9609375,65939.8203125,125838,9770.1708984375,NA,8770.7900390625,NA,9545,NA,11496.330078125,NA,10413.3193359375,NA,9660.4794921875,NA,10444.6396484375,NA,10823.6591796875,NA,11154.9091796875,NA,10956.1591796875,NA,11111.9794921875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05-DEC-2017",2017-12-05 08:43:29,"2017-12-05","8H 43M 29S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,5.29,1.19,5.17,4.91,1,5.77,5.32,5.55,9.88,9.31,5.07,5.35,6.41,6.74,9.36,9.28,8.66,8.44,8.3,8.3,3.9,5.53,3.96,4.81,4.76,5.17,9.9,10.39,123036.4765625,67143.98046875,120129,123958.98828125,66454.11328125,122925.5,8795.8798828125,8699.5,8443.9599609375,8220,9049.51953125,8833,9393.099609375,9023,8913.4404296875,8910,9050.169921875,9053.5,10233.2802734375,9288.5,10484.1943359375,10057,10962.51953125,10688,11736.5844726562,11807.5,11273.099609375,11671,NA,NA,NA,NA,NA,NA,NA,NA
"04-DEC-2017",2017-12-04 09:39:29,"2017-12-04","9H 39M 29S","Unknown","2.16.0","Unknown","Unknown",335,335,335,357,357,357,489,489,377,377,539,539,607,607,456,456,367,367,459,459,396,396,458,458,424,424,446,446,10.11,1.64,9.58,8.16,1.35,9.03,7.71,7.71,13.28,12.5,7.83,7.89,9.1,9.24,13.46,13.01,13.08,12.74,11.05,10.31,5.88,7.44,6.16,7.03,7.47,7.51,13.38,13.78,124359.41796875,67391.75,120814.5,124879.84765625,66718.92578125,123593,8979.78955078125,8842,6843.8896484375,6654,9279.52978515625,9018,8840.419921875,8462,8968.24462890625,8968.5,9149.60986328125,9163,9599.349609375,8678.5,10663.0693359375,10161,11254.814453125,10753.5,11086.5390625,11121.5,8856.0341796875,9177,NA,NA,NA,NA,NA,NA,NA,NA
"30-NOV-2017",2017-11-30 10:45:29,"2017-11-30","10H 45M 29S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,9.1,1.57,8.58,7.19,1.28,8.02,6.91,NA,11.94,NA,7.09,NA,8.31,NA,11.83,NA,11.08,NA,9.65,NA,5,NA,4.91,NA,6.09,NA,11.75,NA,126813.5390625,67327.765625,123502,126592.4296875,67410.953125,123903,10051.580078125,NA,7722.1904296875,NA,9750.83984375,NA,10809.08984375,NA,9912.2001953125,NA,9313.6396484375,NA,9608.279296875,NA,11122.5791015625,NA,11609.6494140625,NA,10360.439453125,NA,9669.3193359375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29-NOV-2017",2017-11-29 11:11:59,"2017-11-29","11H 11M 59S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,6.12,1.25,5.93,5.02,1.02,5.68,5.27,NA,9.58,NA,5.84,NA,6.89,NA,9.95,NA,9.84,NA,8.97,NA,4.27,NA,4.14,NA,5.1,NA,9.99,NA,126630.9609375,67795.0703125,122520,127519.5390625,67910.7890625,123664,9882.5205078125,NA,9010.470703125,NA,9581.51953125,NA,11383.4501953125,NA,9681.359375,NA,9101.359375,NA,10182.4794921875,NA,11285.2890625,NA,11666.8896484375,NA,11102.439453125,NA,11628.19921875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28-NOV-2017",2017-11-28 11:36:32,"2017-11-28","11H 36M 32S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,6.15,1.35,5.93,5.53,1.1,6.47,5.21,NA,9.86,NA,5.03,NA,6.53,NA,10.55,NA,10.18,NA,9,NA,4.25,NA,4.04,NA,4.73,NA,9.69,NA,126417.78125,67300.859375,123150,125619.6640625,67370.78125,122986,10326.5703125,NA,8239,NA,9720.1298828125,NA,11029.8701171875,NA,9940.0400390625,NA,9321.759765625,NA,9876.2392578125,NA,11206.3193359375,NA,11622.8994140625,NA,10704.4091796875,NA,10232.1796875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21-NOV-2017",2017-11-21 09:17:06,"2017-11-21","9H 17M 6S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,7,1.46,6.96,6.12,1.21,6.88,6.24,NA,11.52,NA,6.2,NA,7.41,NA,11.01,NA,10.46,NA,9.59,NA,5.12,NA,4.9,NA,6.31,NA,11.8,NA,128916.78125,68058.390625,124381,129680.03125,68099,125551,10189.6103515625,NA,8425.1806640625,NA,9859.5693359375,NA,11304.599609375,NA,10122.16015625,NA,9342.6396484375,NA,10136.080078125,NA,11268.859375,NA,11524.849609375,NA,10963.5791015625,NA,10532.1591796875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20-NOV-2017",2017-11-20 11:48:36,"2017-11-20","11H 48M 36S","Unknown","2.16.0","Unknown","Unknown",336,336,336,357,357,357,497,NA,380,NA,541,NA,619,NA,461,NA,367,NA,457,NA,399,NA,460,NA,421,NA,447,NA,5.9,1.47,5.63,6.18,1.29,7.03,4.83,NA,10.43,NA,4.16,NA,5.47,NA,8.86,NA,8.35,NA,8.66,NA,4.61,NA,4.47,NA,4.86,NA,8.03,NA,125738.4609375,66191.640625,124590,126023.046875,66193.28125,125553,10040.880859375,NA,8428.390625,NA,9590.6494140625,NA,11040.66015625,NA,10214.9599609375,NA,9290.439453125,NA,9894.7998046875,NA,10923.8291015625,NA,11226.458984375,NA,10550.1796875,NA,10395.94921875,NA,NA,NA,NA,NA,NA,NA,NA,NA
